dyad,ID,all_text
6,R_1GCXs0KddP3VDig,"I think they are talking because the man in the hat is a PI who the man in the hooded shirt has hired. Yeah, too easy, I guess. Maybe we're cynical and they are friends out for lunch I think the spy from behind them makes his move on the unsuspecting pair. Yeah, smoking in a diner seems odd. I wonder if it's set in the past? I would feel incredibly safe as I'm with my PI. Hm, fair enough. I suppose people don't hire PI's for non secret information. I feel like the only thing I hear about them getting hired for is over cheating spouses. Haha, yeah, that. Exactly tat. that* Could be. I think they are students discussing a project. They are seemingly younger and the school-type chair in the middle throws it off for me. Whatever the case, everyone is super interested in the one speaking He is trying to establish dominance in the room, but failing miserably. I sort of wish they had faces The more I look at them the more it creeps me out There is definitely a semblance of distress. The amount of focus placed on the speaker points to an issue he has the answer for. Right. Ted is about to walk up and show him what's up."
6,R_3wJHGn9uugenvOx,"I think that the man with the pipe is a private investigator and the hooded man is telling him about something he wants him to investigate YESS we're so smart Hahaha probably, we have suspicious minds That guy behind them looks like he's spying on them I think the guy behind him will karate chop the PI Yeah, he looks like he's about to attack somebody Or maybe he's just going to ask the PI for a lighter It's gotta be, that PI is like a 1950's PI I guess I'd feel paranoid cause I'd be telling the PI about some secret stuff and would be wondering if we were followed Yeah like maybe his wife is cheating on him but her brother works locally and might pop into the bar and see him talking to the VERY noticeable PI HAHAHA  I think they're in an Alcoholics Anonymous meeting I feel like the guy with the knee up is like comforting somebody This scene feels stressful to me Yeah true that guy on the couch is chillin Maybe he just thinks better when he's standing HAHA Nobody cares if you stand up, Ted Me too, I think Ted would be crying Yeah.. their little blank faces and nubby hands Well I'm still sensing distress, but I guess it's like you said, Ted tried to take a stand but nobody cares about his opinion Oh my god maybe they're about to arm wrestle Exactly It's a frat party"
7,R_3D74CajEZcUcIZm,"They are probably discussing their work day. Or could possibly be some sort of informal business meeting. True. or they may call over the waiter/bartender to order more drinks. I might be a little put-off by his attire, having a top-hat and smoking a pipe in this day and age seems alittle odd. or a group of friends planning an intervention. Noting the empty chair in the middle as if they are practicing something. or could be actors. probably because he just walked in on the situation. TRUE it might be a bit tense if they are planning an intervention. I agree."
7,R_3NxNmRfygjwFNmS,"Yea, they are probably talking about what they're did at work They might bring out some sort of papers to discuss about I would feel fine, probably a bit involved in the conversation with the other guy. That is very true, a bit anachronistic  They could be students talking about a project that they're working on, or employees doing the same True, or he could be the group leader or if they're practicing he could be the one evaluating them Very true They could all be very focused on what they're doing"
8,R_2Bg36ydXY3dH2QA,"what if they don't show? It definitely looks like a bar or even just a diner since it appears that is a coffee mug and a fountain machine next to them Where is this package that you see? I am pretty sure that is a soda fountain or something related to the restaurant  I think the man in the hat will get up and leave could be Why? because he has stuff do. I would feel relaxed and maybe entertained- depending on what we are talking about Yeah, it does seem like a nice laid back environment work or something work related yeah, the guy standing up seems the most tense True, and the other two sitting down have one legged kicked up maybe because he just joined the conversation? I agree and feel the same way Or else he is just listening and not talking? I think the mood is a little tense because they all seem to be really focused on the guy in the center yep, something is about to go down"
8,R_3poqNszF4mQrEqm,"They are discussing a package on the counter?  It looks like a bar of some sort. Question is. Is this a Hand-off, or does the package belong to the man with the stylish hat?  From the angle, it looks like they've been talking awhile. The boxes next to the guy with the pointed hat. Just up and the the right of the cup on the counter near the hooded guy's hand.  Could be. I think the hooded man will get up, shake hands and then depart. I'm thinking Irish coffee in those cups.  But then.. I think I need more coffee right now. This seems pretty laid back. There isn't anything I can see that says otherwise. It seems pleasant enough No chairs at this counter though. Probably further back in the restaurant / bar/ tavern Seems like a small gathering. The atmosphere feels a little more tense this time. The guy on the couch is laid back, but everyone else is either turned towards the speaker or hunched forwards. So it's a spirited something or other This is probably uncomfortable. I know I'd rather be standing when I'm just at the edge of a conversation, listening.  Intense. Not to 'heated' yet, but at least two members of this discussion 'give a damn' and it concerns everybody in the group. It's like watching one of those temperature gauges go down slowly as the barometric pressure falls. Storm weather is brewing. "
10,R_NUTrF1mxrP1mJLb,
10,R_1gU8gH0B7lklApz,maybe they are friends? or could be Father and Son They will talk to a waitress  To order more coffee Like I was being talked down to Planning something that involves all of them Because he is the leader given the body language it looks  relaxed
11,R_aW5AVKDVIMkqnkZ,"Greetings I think maybe they have something special to discuss that noone knows about I don't know it looks kinda shady lol I think someone will say either pay up or pay the price Ah your right they may both have something on one another...and what place these days allows you to smoke right at the counter...hmmmm Yeah it does right I mean and a pipe no less I would feel awful  He must have something on him for him to put up with that and the place must not be a well to do one to tolerate that open pipe smoking either I mean in your house is your business but out in the open at a diner is just wack lol I think they are in a meeting at work...they look like they are trying to come up with a plan to impress the boss lol Hes just observing them ...menacingly  In his mind hes like "" I don't care what they come up with noone is getting a raise""  He is the boss watching them struggle with idiot concepts over a job that doesn't pay them what they deserve anyway Can you tell I have been in that situation far too many times in my life? lol those group meetings are so dumb and the mood is tense for no reason  True...You must make it seem as though your paying attention and that you really care though"
11,R_2CPaHX1btp7vwC4,"hi they are talking as they enjoy themselves TRUE they might both pay as well its sounds awful to smoke right infront of the others i would really feel bad and suffocated TRUE TRUE thats true because the air is just filthy true.and he just seems okey with it they look like they are nursing one yeah,i got them wrong he seems to be the boss lol yeah. tense.bearing in mind they are working as the boss watches them"
12,R_12lPO4sCjq8Kxb1,"What do you think he is talking about? I thought it looked like soemthing from a mafia movie, like the man in the pipe is giving orders Yes you're right, I thought it was a bar but it's not.  I think they move to a table and order some food Either way he should stop, it is rude and there might be kids there I think I would feel hungry  and maybe a little bit annoyed that my dad (or whoever he is )is smoking in my face Maybe he is sitting at a table with his family, his daughter has asthma and he is getting into a fight with the man  I think they are the little containers you have sugars in at a diner i think these guys are sitting around talking about the news maybe I think they are talking about politics and the guy standing off to the left is shy and doesnt want to get involved Or maybe the black hair guy is a professor, and he is listening to a group of his students debate something Maybe he doesn't like them Yea maybe he is just a weirdo who walked past and is being nosy seems relaxed and friendly "
12,R_3HHRD3M3IxcI7I1,I think they look like father and son. mmmm maybe I was thinking it looked like they met for a coffee. I just think it seems casual the one in the sweatshirt seems pretty laid back. I think they may move to a table or possibly leave.  Not sure can smoke a pipe in most places. He better put that pipe down  Or it might be a smoking establoishment are those ashtrays on the bar I am now kinda thinking he might be telling the man with the pip to put it away like he is offended i just do not know if those are ashtrays  Oh maybe you might be right so I am going with hoodie guy is offended wow i am stumped but yes they could be discussing something currently in the news the one on the couch seems pretty relaxed so must not be an intense conversation and the other guy sitting pretty chill with his leg up He either just walked over or did not want to sit down wow that is good thought  the part about him being a professor or they could be talking about sports and that guy knows nothing about what they are talking about the mood seems pretty relaxed like i thought earlier they are sitting in relaxed positions even the guy standing seems pretty chill arms are relaxed positions with hands in pockets they could offer him that chair
13,R_3j8KHNGETrvpTmE,might talking about football match that day they order more drinks because of long chats I feel bored if I were the main in the hooded sweatshirt looks like a community gathering..maybe talking about how to secure the neighborhood because he wants to join in the conversation intense
13,R_NUTrF1mxrP1mJLb,I THING MANY MOMENTS
14,R_A5JxxArXb9isjMl,To be friendly The man in the sweatshirt will turn back to his coffee. I would feel fine... no idea
14,R_3GpurVb95pVVIiy,byh no idea no idea
15,R_2bNxPbj4SOLHahc,HELLO YES 
15,R_33qmXSc1nBh9xUy,BECAUSE OF HOODED SWEATSHIRT IS OUR NATURE  YES THE PEOPLE ARE CHATING  WITH OTHERS BLACK HAIR MAN STANDING THEY ARE DISCUSSED 
16,R_32LtShFxVvFPwk3, good 
16,R_do2vH7obEkWwx9f,"He could be a detective Hello? The man in the hooded sweatshirt will get arrested. He is in a defensive position and probably being interrogated. I would feel defensive and scared. They are talking about how to solve a business problem. He is the boss of the business. The mood seems a little tense, but the woman on the couch seems relaxed."
17,R_1nUSKUHWVBxFHXe,Drink specials or what they prefer to drink The weather What do they do for work One will laugh at the others joke Pleased with the conversation Enjoyed the company It's an improv class Work meeting Self improvement class He came late to the meeting He felt uncomfortable getting into the chair He has a leg cramp He's the teacher or monitor  Serious since they appear to be taking turns
17,R_1ITyQfAdBwKx30z, juice summer drink coffe yes speck some official yes discussion any project he came late to meeting he some pain very interesting matter discuss some important matter
19,R_efixyGbvwpbUpUt,"HI. Are they talking about the weather? Any other ideas? I think we need to have like 6 go around about what they are talking about Maybe the guy in the hoodie telling the guy smoking that it's not legal to do that If that was the case, the guy with the pipe willl  tell him to buzz off I am not sure. He's pretty brazen for smoking in a coffee shop If what we had discussed happened, if I were the guy in the hoodie, I would be pretty ticked huh? Let me guess. They are talking about the march they are attending on Saturday in support of immigrants Because he came to the meeting late masybe they needed his chair so they could right something down and didn't have a desk They are hopeful and excited to attend the rally and stick it to the Trump administration! you still there"
19,R_2ZJs726Su7ZOFEn,mm yeah no s corrct if that is case that man goes out they discuses about how that man will comes out  but do not know that will happen  yes oohh
20,R_Zyid1hCC3Gz0IkF,HELLO    
21,R_smOOAeZxXnkbcop,"I think it might be lunch time and they are breaking together. What do you think Where did you go? I think they will have to get back to work. I think they are at lunch and must return to work soon. What do you think I would feel like nervous thinking I have to go back to work soon. I would just be enjoying my brake, but the more I look at it I think the man with the pipe is intimidating the man in the hoodie. So I might feel scared. Also if anyone can see this I do not seem to have anyone to chat too I think they are talking about a sick person possibly and what their options are if any. He could be the head of house hold and be trying to tell everyone else about the bad news.  I also was thinking this could be like an intervention where they are confronting a person with a problem perhaps it is the man with black hairs son. He could be standing because the man sitting with his hand in a fist wants to hit him, but I am thinking against that one although the others could be telling him to calm down I think no matter what the room is tense. All of the things I named would be tense situations."
22,R_2490CtSPGC7G4vE,"Yes Or maybe they are people who have just met They will leave from there, because they have something to do Exactly, they only went through a cup of coffee"
22,R_2wBloIFksKEkH2J,"Maybe the one smoking the pipe is his grandpa and they are having breakfast at a diner The one in the sweatshirt maybe just went for a jog I dunno Yes, that could be true or he asked if the seat was taken If he asked if the seat was taken, the man with the pipe probably said something like ""nope it's all yours"" Yes if they know each other they will probably leave together Yeah they clearly don't have any food, so a quick meeting for coffee and then off to do whatever they are going to do for the day I'd probably feel caffeinated and happy to spend time with my friend/relative  oh no Do I keep talking even though my partner is gone? This looks like an Alcoholics Anonymous meeting so perhaps they are doing group therapy Maybe they are talking about why they drink or used to drink I think he probably got uncomfortable by whatever topic they were discussing and needed to stand to calm his nerves My partner left so I can't discuss but that's what I think I think it's probably tense, yet supportive. They all seem at ease with one another but not at ease with the topic being discussed It can be hard to talk about your own struggle but it can be so reassuring to find others that can empathize"
23,R_sjt0mqNWbkRgBnH,"looks like friends at a bar because they are friends that's a possibility yeah, but is that what they want us to think? maybe it's his grandfather I think they will have a drink  not sure, either way I think they will have a beverage yeah exactly who knows if it's a friendly conversation or not I want to think it's his grandfather and he wished his grandfather would stop smoking that cigar lol maybe they are having a meeting at work and talking about their boss lol could be and they are discussing the situation about him because they have been sitting waiting for a while and he needed to stand for a bit yeah those chairs were way too hard I think it's solemn because their relative is in the hospital or like I said earlier maybe it's a work meeting and they are venting about their boss it looks like the guy to the right is mad"
23,R_25AejDotr444Ost,"I think the guy in the hat is a private detective that the guy in the hood is hiring He has the classic private detective look with the pipe and the hat Possibly but they look like they would be weird friends if they are friends Maybe they are father and son I think the guy in the hat lays down his business card and walks out And then the guy in the hood stands studying the card for a moment before leaving He is deciding whether or not to hire this guy Do you think it is a bar or coffee shop? Looks like a diner of sorts I think they call the server over for the bill Depends on whether the guy in the hat is a private detective If he is and he tells the guy in the hood that he has found some information that he is being cheated on, I think I would feel depressed if I was the guy in the hood I know I would feel like the man should not be smoking a pipe in a diner haha...likely story Possibly....they also look like they could possibly be in a hospital waiting room with all the chairs Maybe this is a continuation and the man with the pipe had a heart attack and they are waiting for the doctor to come in with news on how he is doing Maybe he has a thing about sitting too close to people Maybe he forgot to put deodorant on that morning and needed to get up away from people. You are probably right though...His back probably is hurting because they have been sitting in those uncomfortable chairs for too long The look like the wooded ones which have no cushion It looks like a serious conversation. Maybe discussing a project plan  That is a very real possibilty."
24,R_1qTYr4l5K5RI7tY,I feel like maybe they are making some kind of deal
25,R_wTtl3GgUWGhPFsZ,They are talking about current events Good point Maybe his grandfather or someone like that? Ohhhh maybe a hitman! So now this next guy walks in and has a seat at the bar I wouldn't feel to comfortable at that bar....there's hardly any room with the coffee machine right there Definitely nervous....and hes eyeballing the guy who just walked in These folks could be discussing their weekend plans or having a philosophical debate I'm not sure....hopefully hes sitting He looks like hes maybe the mentor to the group and is observing their conversation  He looks like he could be a professor of some type Room looks kinda dull...maybe these folks dont know each other and are uncomfortable  Guy on the couch is definitely looks like hes from Dazed and Confused
25,R_3ilr0sE8PYOEccI,"It looks like they might know each other and happened to run into each other I wonder if the guy with the pipe could be his boss? Yeah, I was wondering that too He sort of looks like he could be asking him to do some kind of job Ha!  I really wasn't thinking of that, but it does look like that The guy with the hooded sweathshirt looks a little nervous to me Although the guy who just walked in doesn't look dangerous to me Looks like maybe they are discussing some kind of family problem? Is that guy in the middle standing or on his knees? The guy with the black hair looks like he's left out our an outsider Good point, I didn't think of that Yeah, I was going to say he looks like a teacher I kind of think the mood looks somber.  Except for the guy on the couch.  He looks pretty laid back To me, the guy in the middle has sort of a puzzled look"
26,R_2ANzGdCB443hKXl,because they are friends  one of them will order another drink im not sure if we need to keep chatting  wouldn't really have any feelings if i were the man in the hooded sweatshirt.   haha i would feel a little underdressed to be his friend  and why is this guy smoking a pipe inside  why are they gathered around an empty chair?  seriously.  he's like what is with these people and their rage towards this chair  awkward  agreed.  and then there is the other guy with his arm sprawled across the back of the chair like totally chill
26,R_1lhJR9t8h8OAhLz,"because they're both at the bar, that's what people do at the bar. Are we supposed to keep chatting  one of them goes to the bathroom... I thought I saw something about it in the long preamble about the study, but not sure. I would feel like I was at a bar, talking to some guy who is dressed up like dick tracy.  I would feel like I was in the wrong era. I am not sure I get the point of this survey. And why are they so angry at it? He thinks his friends are crazy talking to the chair? Hes coming up with an excuse to leave.  Uncomfortable. Two dudes yelling at a chair, another one watching, and the normal guy is standing back wondering how he got here.  Did you leave me here with this crazy survey? no come back!"
27,R_3OdAf1t7EFshUp7,Maybe they are working on a business deal? what do you think? I think that they will both get up and leave. They look like they are not there to hang out and enjoy themselves.  I think so too.  I think I would feel nervous.  It looks like they are having a support group meeting.  It also looks like a teachers lounge so maybe a breakroom setting talking about work.  Maybe he just walked in It might be he is moving from another part of the room to join the conversation. it seems very relaxed.  Looking at the body language it seems laid back
27,R_1F4x1K4b2Fg7fgk,Maybe they are working on a business deal? all right of business
28,R_3P6Id0dMdiQ5HPB,I think because they might know each other. I'm not sure though. Yeah that is a good one. Although it could be the other way around. The hat man is short.  He looks like a mob boss. I think that the hat man offers the hoodie guy too little money and they get into it. There are two of them.  I think they are body guards trying to hid ethemselves. Or maybe it could be a hit man audition. I think I might feel surrounded. Like something wasput in my coffee. I would feel like I was huffing a smokestack with the pipe in my face. Yes. They might be trying to audition for Pirates of the Carribean Part 8. Misspelled. Because the chair is broken. He just entered the room. Lol.   He's actually that midget from Game of Thromes standing on a stool. They are all discussing that Doritoes commercial he was in and worried how it will accect the show.
28,R_1mzxzVTf41PGAlI,"I think the hooded man is hiring the hat man, who is a hitman. The person closest is an undercover agent and overhears the whole thing.  I like the that too little money. I would feel nervous. The big game. After he slammed it down in a drunken rum-fueled rage as part of Will Turner's ghost It's probably relaxed."
29,R_1qTYr4l5K5RI7tY,"I think they’re making some kind of deal. The man with the pipe seems jmportant. That’s a good point Yeah, definitely a bar. Maybe they were both alone and just started talking. Maybe they will buy each other a round of drinks and continue talking. I would feel a little intimidated.. the man with the pipe is intriguing to me I think there is more to him Agreed for sure Yes you read my moind about the clothes. Mind* yeah I can see that with his his arms are placed He does seem to be observing I think they’re trying to come up with some kind of solution The body language of each person is different Some seems relaxed while others more intense Exactly. I don’t sense any tension really"
29,R_50jHwIgDnWDaiJj,I dont know.  It's a public place.  I think it's more of a friendly casual conversation.   given the ash trays and the smoking it's probably a bar or pub I think the conversation will continue The man in the hoodie seems relaxed and at ease I guess i already answered that question haha I agree.  I would feel a sense of respect a work project? they seem to be wearing nicer clothes and look intense He might be an outsider to the group of the other three a boss observing progress maybe I think it's intense but respectful yeah.  the two on the right are deeply engaged the bottom left looks like he's just along for the ride
30,R_3MMZaWow3OZjYrh,"They could be getting together to talk business Maybe they're waiting at the bar for their friend before moving to a table They could also be waiting for their wives or girlfriends to show up I think the guy on the left will pick up his coffee and throw it in the other guy's face for blowing smoke  Maybe the waitress will come over and take their food order yeah, if i was the hooded guy i would tell him to share his pipe with me but i would feel disrespected by the smoke being blown in my face. These people are planning a bank heist and a kidnapping, The're going to kidnap paul ryan from Bank of America while they rob it. thats why they're also talking politics he pulls all the strings and tells people what their roles are. i like the klingon theory too. i feel like the mood is very tense. everybody is probably unsure of whats going to actually go down and how it's going to happen exactly i was going to add that they can plan only so much"
30,R_1gMjyQLLLoUiktN,they are making small talk while waiting they may be on a date maybe they are arguing they will get another drink so as to get drunk then the guy will have to relight his pipe i would wanna some of what the other guy is smoking politics of course who they gonna kipnap after or before the heist paul ryan keeps his money at the fed reserve he is the head felon or he has klingons they are worried they may not get away with it wondering if they planned it enough yep the unexpected cannot be planned
